,antecedents,consequents,antecedent support,consequent support,support,confidence,lift
168,frozenset({'ETH'}),"frozenset({'AVAX', 'DOT'})",0.2916666666666667,0.08333333333333333,0.08333333333333333,0.2857142857142857,3.4285714285714284
169,frozenset({'DOT'}),"frozenset({'AVAX', 'ETH'})",0.20833333333333334,0.08333333333333333,0.08333333333333333,0.39999999999999997,4.8
170,"frozenset({'AVAX', 'DOT'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
171,"frozenset({'DOT', 'WRX'})",frozenset({'AVAX'}),0.125,0.4166666666666667,0.08333333333333333,0.6666666666666666,1.5999999999999999
172,frozenset({'AVAX'}),"frozenset({'DOT', 'WRX'})",0.4166666666666667,0.125,0.08333333333333333,0.19999999999999998,1.5999999999999999
173,frozenset({'WRX'}),"frozenset({'AVAX', 'DOT'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
174,"frozenset({'AVAX', 'ENJ'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
175,"frozenset({'ENJ', 'WRX'})",frozenset({'AVAX'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4
176,frozenset({'AVAX'}),"frozenset({'ENJ', 'WRX'})",0.4166666666666667,0.08333333333333333,0.08333333333333333,0.19999999999999998,2.4
177,frozenset({'WRX'}),"frozenset({'AVAX', 'ENJ'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
178,"frozenset({'AVAX', 'ETH'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
179,frozenset({'WRX'}),"frozenset({'AVAX', 'ETH'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
180,"frozenset({'AVAX', 'FLM'})",frozenset({'WRX'}),0.125,0.625,0.125,1.0,1.6
181,"frozenset({'AVAX', 'WRX'})",frozenset({'FLM'}),0.375,0.16666666666666666,0.125,0.3333333333333333,2.0
182,"frozenset({'FLM', 'WRX'})",frozenset({'AVAX'}),0.125,0.4166666666666667,0.125,1.0,2.4
183,frozenset({'AVAX'}),"frozenset({'FLM', 'WRX'})",0.4166666666666667,0.125,0.125,0.3,2.4
184,frozenset({'FLM'}),"frozenset({'AVAX', 'WRX'})",0.16666666666666666,0.375,0.125,0.75,2.0
185,frozenset({'WRX'}),"frozenset({'AVAX', 'FLM'})",0.625,0.125,0.125,0.2,1.6
186,"frozenset({'AVAX', 'META'})",frozenset({'WRX'}),0.08333333333333333,0.625,0.08333333333333333,1.0,1.6
187,"frozenset({'AVAX', 'WRX'})",frozenset({'META'}),0.375,0.125,0.08333333333333333,0.2222222222222222,1.7777777777777777
188,"frozenset({'META', 'WRX'})",frozenset({'AVAX'}),0.08333333333333333,0.4166666666666667,0.08333333333333333,1.0,2.4
189,frozenset({'AVAX'}),"frozenset({'META', 'WRX'})",0.4166666666666667,0.08333333333333333,0.08333333333333333,0.19999999999999998,2.4
190,frozenset({'META'}),"frozenset({'AVAX', 'WRX'})",0.125,0.375,0.08333333333333333,0.6666666666666666,1.7777777777777777
191,frozenset({'WRX'}),"frozenset({'AVAX', 'META'})",0.625,0.08333333333333333,0.08333333333333333,0.13333333333333333,1.6
192,"frozenset({'SAND', 'WRX'})",frozenset({'AVAX'}),0.20833333333333334,0.4166666666666667,0.16666666666666666,0.7999999999999999,1.9199999999999997
193,frozenset({'AVAX'}),"frozenset({'SAND', 'WRX'})",0.4166666666666667,0.20833333333333334,0.16666666666666666,0.39999999999999997,1.9199999999999997
194,"frozenset({'AVAX', 'SAND'})",frozenset({'XEM'}),0.20833333333333334,0.16666666666666666,0.08333333333333333,0.39999999999999997,2.4
195,"frozenset({'AVAX', 'XEM'})",frozenset({'SAND'}),0.08333333333333333,0.375,0.08333333333333333,1.0,2.6666666666666665
196,"frozenset({'XEM', 'SAND'})",frozenset({'AVAX'}),0.125,0.4166666666666667,0.08333333333333333,0.6666666666666666,1.5999999999999999
197,frozenset({'AVAX'}),"frozenset({'XEM', 'SAND'})",0.4166666666666667,0.125,0.08333333333333333,0.19999999999999998,1.5999999999999999
